method,alpha,target_coverage,coverage,avg_set_size,median_set_size,max_set_size,pct_singleton,pct_empty,time_ms,hp_lam,hp_k_reg,hp_r_star
APS,0.05,0.95,0.9552,3.601,3,15,0.3059,0.0008,21.9,,,
RAPS,0.05,0.95,0.9542,3.833,4,9,0.0,0.0,24.1,0.01,1.0,
SAPS,0.05,0.95,0.9544,4.107,4,8,0.0,0.0,14.9,0.2,,
RANK,0.05,0.95,0.9615,4.652,5,5,0.0,0.0,14.5,,,5.0
APS,0.1,0.9,0.907,2.568,2,12,0.4211,0.0047,20.9,,,
RAPS,0.1,0.9,0.9071,2.373,2,9,0.3492,0.0,24.4,0.01,1.0,
SAPS,0.1,0.9,0.9047,2.614,2,6,0.0887,0.0,14.9,0.2,,
RANK,0.1,0.9,0.9147,3.079,3,4,0.0,0.0,14.4,,,4.0
APS,0.2,0.8,0.8073,1.732,1,9,0.5651,0.0295,20.7,,,
RAPS,0.2,0.8,0.8078,1.676,1,7,0.568,0.0235,24.7,0.01,1.0,
SAPS,0.2,0.8,0.8102,1.661,1,5,0.5912,0.0198,16.4,0.2,,
RANK,0.2,0.8,0.8328,1.789,2,2,0.2109,0.0,14.1,,,2.0
